1 2 p p.adj
CVP ENV 0.001 0.0012
CVP KBC 0.002 0.002
CVP TSA 0.001 0.0012
ENV KBC 0.001 0.0012
ENV TSA 0.001 0.0012
KBC TSA 0.001 0.0012
