Postcode,Area,District,Total,Males,Females,Occupied_Households
L1  0AF,L1,0AF,79,38,41,45
L1  1DA,L1,1DA,2,1,1,1
L1  1HW,L1,1HW,6,3,3,4
L1  1JJ,L1,1JJ,3,2,1,3
L1  1JN,L1,1JN,16,10,6,6
L1  1JP,L1,1JP,3,1,2,2
L1  1JQ,L1,1JQ,20,12,8,11
L1  1JW,L1,1JW,10,5,5,8
L1  1LE,L1,1LE,10,8,2,5
L1  1RD,L1,1RD,174,79,95,0
L1  1RJ,L1,1RJ,1,1,0,1
L1  2SA,L1,2SA,8,7,1,5
L1  2SJ,L1,2SJ,18,12,6,12
L1  2SR,L1,2SR,2,1,1,2
L1  2SS,L1,2SS,124,81,43,76
L1  2ST,L1,2ST,40,24,16,30
L1  2SU,L1,2SU,164,89,75,86
L1  2SX,L1,2SX,13,7,6,9
L1  2TE,L1,2TE,19,12,7,13
L1  2TQ,L1,2TQ,13,7,6,10
L1  2TR,L1,2TR,9,5,4,4
L1  3BH,L1,3BH,103,65,38,72
L1  3BL,L1,3BL,6,5,1,3
L1  3BN,L1,3BN,53,31,22,31
L1  3DD,L1,3DD,2,1,1,1
L1  3DT,L1,3DT,41,26,15,26
L1  3DY,L1,3DY,3,2,1,1
L1  3EB,L1,3EB,45,32,13,28
L1  3ED,L1,3ED,19,16,3,4
L1  3EU,L1,3EU,11,8,3,5
L1  4AA,L1,4AA,6,5,1,6
L1  4AG,L1,4AG,1,0,1,1
L1  4AL,L1,4AL,18,12,6,14
L1  4AN,L1,4AN,38,24,14,25
L1  4AQ,L1,4AQ,14,9,5,9
L1  4AR,L1,4AR,73,42,31,45
L1  4AZ,L1,4AZ,22,14,8,5
L1  4BE,L1,4BE,22,18,4,17
L1  4BL,L1,4BL,23,14,9,5
L1  4BN,L1,4BN,52,28,24,34
L1  4BW,L1,4BW,5,3,2,2
L1  4DA,L1,4DA,2,2,0,2
L1  4DE,L1,4DE,80,36,44,32
L1  4DL,L1,4DL,101,50,51,59
L1  4DN,L1,4DN,1,1,0,1
L1  4DQ,L1,4DQ,110,76,34,74
L1  4DR,L1,4DR,76,51,25,39
L1  4EA,L1,4EA,8,5,3,5
L1  4EU,L1,4EU,3,3,0,2
L1  4EZ,L1,4EZ,21,13,8,7
L1  4HF,L1,4HF,17,10,7,11
L1  4HR,L1,4HR,11,8,3,5
L1  4HY,L1,4HY,7,4,3,3
L1  4JF,L1,4JF,10,4,6,7
L1  4JN,L1,4JN,35,28,7,12
L1  4JQ,L1,4JQ,16,7,9,11
L1  4JR,L1,4JR,25,16,9,20
L1  4JS,L1,4JS,72,43,29,43
L1  4JX,L1,4JX,3,2,1,2
L1  4NL,L1,4NL,51,36,15,32
L1  4NU,L1,4NU,8,4,4,4
L1  5AA,L1,5AA,1,0,1,0
L1  5AP,L1,5AP,10,6,4,7
L1  5AQ,L1,5AQ,96,62,34,54
L1  5AT,L1,5AT,22,15,7,16
L1  5AY,L1,5AY,21,12,9,19
L1  5BB,L1,5BB,122,66,56,71
L1  5BE,L1,5BE,14,7,7,9
L1  5BF,L1,5BF,70,47,23,49
L1  5BG,L1,5BG,66,36,30,43
L1  5BL,L1,5BL,80,52,28,45
L1  5BN,L1,5BN,47,29,18,25
L1  5BQ,L1,5BQ,2,1,1,2
L1  5BS,L1,5BS,105,64,41,67
L1  5BU,L1,5BU,173,92,81,101
L1  5BW,L1,5BW,125,77,48,86
L1  5DA,L1,5DA,46,28,18,26
L1  5DB,L1,5DB,6,2,4,4
L1  5DD,L1,5DD,27,19,8,16
L1  5DF,L1,5DF,66,25,41,40
L1  5DG,L1,5DG,47,26,21,15
L1  5DL,L1,5DL,93,39,54,51
L1  5DN,L1,5DN,86,44,42,45
L1  5DP,L1,5DP,19,8,11,6
L1  5DQ,L1,5DQ,32,13,19,16
L1  5DW,L1,5DW,30,17,13,19
L1  5DY,L1,5DY,40,21,19,26
L1  5EA,L1,5EA,28,17,11,14
L1  5EB,L1,5EB,15,6,9,9
L1  5EF,L1,5EF,23,10,13,10
L1  5EG,L1,5EG,25,12,13,12
L1  5EH,L1,5EH,34,18,16,13
L1  5EL,L1,5EL,70,55,15,42
L1  5EQ,L1,5EQ,31,13,18,19
L1  5ES,L1,5ES,25,11,14,14
L1  5EU,L1,5EU,5,1,4,2
L1  5EY,L1,5EY,61,35,26,44
L1  5EZ,L1,5EZ,13,8,5,6
L1  5FD,L1,5FD,90,57,33,61
L1  5FE,L1,5FE,63,37,26,35
L1  5FS,L1,5FS,58,27,31,34
L1  5GA,L1,5GA,21,13,8,15
L1  5GB,L1,5GB,18,9,9,13
L1  5HA,L1,5HA,15,8,7,4
L1  5HS,L1,5HS,27,15,12,15
L1  5HY,L1,5HY,37,15,22,21
L1  5HZ,L1,5HZ,24,11,13,11
L1  5JD,L1,5JD,40,13,27,19
L1  5JE,L1,5JE,21,8,13,11
L1  5JH,L1,5JH,15,5,10,6
L1  5JJ,L1,5JJ,8,6,2,5
L1  5JL,L1,5JL,24,11,13,6
L1  5JP,L1,5JP,16,12,4,9
L1  6AA,L1,6AA,25,14,11,16
L1  6AF,L1,6AF,9,5,4,8
L1  6BA,L1,6BA,18,13,5,15
L1  6BB,L1,6BB,21,11,10,14
L1  6BD,L1,6BD,21,14,7,14
L1  6BG,L1,6BG,18,12,6,13
L1  6BU,L1,6BU,53,26,27,31
L1  6BW,L1,6BW,33,21,12,19
L1  6BX,L1,6BX,13,10,3,11
L1  6DP,L1,6DP,18,13,5,15
L1  6DQ,L1,6DQ,87,47,40,61
L1  6DT,L1,6DT,6,2,4,4
L1  6DX,L1,6DX,16,10,6,12
L1  6ER,L1,6ER,39,23,16,27
L1  7AY,L1,7AY,4,1,3,2
L1  7BA,L1,7BA,77,44,33,49
L1  7BG,L1,7BG,50,34,16,35
L1  7BJ,L1,7BJ,45,30,15,26
L1  7BL,L1,7BL,95,52,43,61
L1  7BP,L1,7BP,70,28,42,27
L1  7BR,L1,7BR,172,80,92,16
L1  7BS,L1,7BS,95,37,58,33
L1  7BT,L1,7BT,274,97,177,43
L1  7BW,L1,7BW,45,20,25,33
L1  7BX,L1,7BX,107,47,60,60
L1  7BZ,L1,7BZ,12,4,8,9
L1  8DG,L1,8DG,48,28,20,28
L1  8DL,L1,8DL,62,35,27,37
L1  8DN,L1,8DN,29,17,12,16
L1  8DP,L1,8DP,56,34,22,37
L1  8DQ,L1,8DQ,2,2,0,2
L1  8DW,L1,8DW,89,52,37,55
L1  8DX,L1,8DX,66,40,26,41
L1  8DZ,L1,8DZ,29,24,5,14
L1  8EE,L1,8EE,4,3,1,0
L1  8EF,L1,8EF,17,10,7,9
L1  8HG,L1,8HG,32,17,15,21
L1  8LN,L1,8LN,59,41,18,45
L1  8LP,L1,8LP,78,49,29,58
L1  8LU,L1,8LU,18,6,12,9
L1  8LW,L1,8LW,7,4,3,4
L1  8LZ,L1,8LZ,59,41,18,40
L1  8ND,L1,8ND,122,75,47,73
L1  9AA,L1,9AA,23,13,10,12
L1  9AD,L1,9AD,27,16,11,16
L1  9AF,L1,9AF,6,4,2,4
L1  9AL,L1,9AL,23,14,9,8
L1  9AR,L1,9AR,8,4,4,4
L1  9AS,L1,9AS,14,9,5,8
L1  9AT,L1,9AT,3,2,1,2
L1  9AX,L1,9AX,4,2,2,3
L1  9BB,L1,9BB,44,28,16,33
L1  9BG,L1,9BG,50,24,26,23
L1  9BQ,L1,9BQ,21,18,3,7
L1  9BZ,L1,9BZ,17,11,6,11
L1  9DE,L1,9DE,1,0,1,1
L1  9DN,L1,9DN,54,29,25,26
L1  9DP,L1,9DP,4,4,0,3
L1  9DS,L1,9DS,39,26,13,21
L1  9DT,L1,9DT,3,2,1,3
L1  9DU,L1,9DU,7,6,1,6
L1  9DW,L1,9DW,44,27,17,20
L1  9DY,L1,9DY,14,11,3,4
L1  9DZ,L1,9DZ,34,16,18,19
L1  9EA,L1,9EA,5,4,1,4
L1  9EF,L1,9EF,11,7,4,7
L1  9EH,L1,9EH,7,5,2,4
L1  9EN,L1,9EN,21,14,7,7
L1  9ER,L1,9ER,7,4,3,2
L1  9EW,L1,9EW,6,4,2,4
L1  9EX,L1,9EX,9,4,5,5
L1  9HB,L1,9HB,45,19,26,23
L1  9HD,L1,9HD,40,22,18,18
L1  9HE,L1,9HE,6,4,2,4
L1  9JG,L1,9JG,98,34,64,20
L10 0AD,L10,0AD,12,7,5,6
L10 0AE,L10,0AE,26,11,15,14
L10 0AF,L10,0AF,23,14,9,9
L10 0AG,L10,0AG,88,44,44,39
L10 0AH,L10,0AH,34,16,18,14
L10 0AJ,L10,0AJ,82,36,46,32
L10 0AL,L10,0AL,86,42,44,40
L10 0AN,L10,0AN,80,42,38,31
L10 0AP,L10,0AP,39,17,22,14
L10 0AQ,L10,0AQ,31,31,0,0
L10 0AR,L10,0AR,123,65,58,53
L10 0AS,L10,0AS,37,18,19,32
L10 0AT,L10,0AT,50,25,25,19
L10 0AW,L10,0AW,52,26,26,21
L10 0AY,L10,0AY,49,24,25,18
L10 1LA,L10,1LA,92,43,49,32
L10 1LB,L10,1LB,21,12,9,12
L10 1LD,L10,1LD,7,4,3,4
L10 1LF,L10,1LF,51,23,28,21
L10 1LG,L10,1LG,61,30,31,28
L10 1LH,L10,1LH,27,10,17,10
L10 1LJ,L10,1LJ,45,20,25,18
L10 1LL,L10,1LL,38,14,24,17
L10 1LN,L10,1LN,93,47,46,35
L10 1LP,L10,1LP,148,67,81,50
L10 1LQ,L10,1LQ,85,43,42,36
L10 1LR,L10,1LR,65,34,31,32
L10 1LS,L10,1LS,66,35,31,28
L10 1LT,L10,1LT,61,26,35,26
L10 1LU,L10,1LU,43,22,21,22
L10 1LX,L10,1LX,65,35,30,20
L10 1NB,L10,1NB,114,50,64,43
L10 1ND,L10,1ND,28,13,15,10
L10 1NE,L10,1NE,37,18,19,12
L10 1NF,L10,1NF,66,32,34,29
L10 1NG,L10,1NG,84,40,44,33
L10 1NH,L10,1NH,155,76,79,63
L10 1NJ,L10,1NJ,17,8,9,11
L10 1NL,L10,1NL,2,0,2,2
L10 2JD,L10,2JD,9,3,6,6
L10 2JE,L10,2JE,51,27,24,19
L10 2JF,L10,2JF,75,33,42,24
L10 2JG,L10,2JG,74,37,37,27
L10 2JH,L10,2JH,16,8,8,10
L10 2JJ,L10,2JJ,67,36,31,34
L10 2JL,L10,2JL,36,16,20,17
L10 2JN,L10,2JN,60,27,33,25
L10 2JP,L10,2JP,32,14,18,16
L10 2JQ,L10,2JQ,105,54,51,34
L10 2JR,L10,2JR,31,14,17,16
L10 2JS,L10,2JS,34,16,18,19
L10 2JT,L10,2JT,38,23,15,13
L10 2JU,L10,2JU,50,22,28,27
L10 2JW,L10,2JW,43,21,22,17
L10 2JX,L10,2JX,33,15,18,10
L10 2JY,L10,2JY,29,14,15,14
L10 2JZ,L10,2JZ,32,15,17,18
L10 2LA,L10,2LA,39,19,20,15
L10 2LB,L10,2LB,31,14,17,18
L10 2LD,L10,2LD,79,41,38,29
L10 2LE,L10,2LE,32,16,16,13
L10 2LF,L10,2LF,53,21,32,22
L10 2LG,L10,2LG,61,26,35,27
L10 2LH,L10,2LH,8,3,5,6
L10 2LQ,L10,2LQ,53,21,32,21
L10 3JA,L10,3JA,5,3,2,3
L10 3JD,L10,3JD,46,26,20,18
L10 3JE,L10,3JE,72,37,35,27
L10 3JF,L10,3JF,51,23,28,26
L10 3JG,L10,3JG,22,12,10,11
L10 3JH,L10,3JH,64,35,29,28
L10 3JJ,L10,3JJ,64,29,35,24
L10 3JL,L10,3JL,119,54,65,49
L10 3JN,L10,3JN,72,36,36,27
L10 3JP,L10,3JP,40,16,24,16
L10 3JQ,L10,3JQ,44,22,22,14
L10 3JR,L10,3JR,41,21,20,22
L10 3JS,L10,3JS,30,16,14,14
L10 3JT,L10,3JT,50,21,29,22
L10 3JU,L10,3JU,55,26,29,24
L10 3JW,L10,3JW,37,15,22,12
L10 3JX,L10,3JX,22,12,10,12
L10 3JY,L10,3JY,51,30,21,20
L10 3JZ,L10,3JZ,54,32,22,20
L10 3LA,L10,3LA,53,26,27,22
L10 3LB,L10,3LB,52,28,24,23
L10 3LD,L10,3LD,48,25,23,18
L10 3LE,L10,3LE,68,34,34,24
L10 3LF,L10,3LF,40,21,19,18
L10 3LG,L10,3LG,65,27,38,24
L10 3LH,L10,3LH,71,30,41,24
L10 3LJ,L10,3LJ,50,25,25,25
L10 3LL,L10,3LL,54,26,28,27
L10 3LQ,L10,3LQ,46,21,25,16
L10 4UE,L10,4UE,113,52,61,45
L10 4UF,L10,4UF,172,92,80,58
L10 4UG,L10,4UG,34,20,14,16
L10 4UH,L10,4UH,26,10,16,8
L10 4UJ,L10,4UJ,53,26,27,17
L10 4UN,L10,4UN,19,10,9,6
L10 4UP,L10,4UP,26,15,11,11
L10 4UQ,L10,4UQ,43,20,23,15
L10 4UR,L10,4UR,28,14,14,12
L10 4US,L10,4US,125,61,64,53
L10 4UT,L10,4UT,147,73,74,62
L10 4UU,L10,4UU,14,8,6,5
L10 4UW,L10,4UW,22,11,11,10
L10 4UX,L10,4UX,26,15,11,10
L10 4UY,L10,4UY,29,14,15,12
L10 4UZ,L10,4UZ,78,34,44,33
L10 4XA,L10,4XA,5,3,2,1
L10 4XG,L10,4XG,80,39,41,33
L10 4XH,L10,4XH,30,11,19,14
L10 4XJ,L10,4XJ,90,46,44,33
L10 4XL,L10,4XL,50,25,25,19
L10 4XN,L10,4XN,55,28,27,23
L10 4XP,L10,4XP,104,50,54,40
L10 4XQ,L10,4XQ,30,14,16,11
L10 4XR,L10,4XR,77,41,36,27
L10 4XS,L10,4XS,31,16,15,13
L10 4XT,L10,4XT,59,28,31,27
L10 4XU,L10,4XU,9,5,4,2
L10 4XW,L10,4XW,51,23,28,23
L10 4XX,L10,4XX,35,14,21,15
L10 4XY,L10,4XY,92,40,52,42
L10 4XZ,L10,4XZ,44,20,24,21
L10 4YA,L10,4YA,36,20,16,16
L10 4YB,L10,4YB,47,23,24,20
L10 4YD,L10,4YD,37,18,19,20
L10 4YE,L10,4YE,151,67,84,59
L10 4YF,L10,4YF,62,34,28,33
L10 4YG,L10,4YG,104,44,60,44
L10 4YH,L10,4YH,109,56,53,37
L10 4YJ,L10,4YJ,41,21,20,19
L10 4YL,L10,4YL,15,6,9,8
L10 4YN,L10,4YN,40,17,23,20
L10 4YP,L10,4YP,77,41,36,34
L10 4YQ,L10,4YQ,7,3,4,4
L10 4YR,L10,4YR,41,18,23,19
L10 4YS,L10,4YS,74,37,37,30
L10 4YT,L10,4YT,87,46,41,32
L10 4YU,L10,4YU,36,19,17,12
L10 4YW,L10,4YW,54,23,31,20
L10 4YX,L10,4YX,56,27,29,22
L10 6LA,L10,6LA,41,21,20,15
L10 6LB,L10,6LB,15,7,8,8
L10 6LE,L10,6LE,49,25,24,21
L10 6LF,L10,6LF,46,27,19,17
L10 6LG,L10,6LG,56,27,29,24
L10 6LH,L10,6LH,75,37,38,26
L10 6LJ,L10,6LJ,64,32,32,24
L10 6LL,L10,6LL,56,25,31,33
L10 6LN,L10,6LN,36,17,19,16
L10 6LP,L10,6LP,63,23,40,26
L10 6LR,L10,6LR,51,26,25,24
L10 6LS,L10,6LS,47,20,27,22
L10 6LT,L10,6LT,76,36,40,41
L10 6LU,L10,6LU,76,33,43,32
L10 6LW,L10,6LW,24,8,16,17
L10 6LX,L10,6LX,54,25,29,24
L10 6LY,L10,6LY,64,36,28,25
L10 6LZ,L10,6LZ,52,20,32,24
L10 6NA,L10,6NA,7,5,2,2
L10 6NB,L10,6NB,6,1,5,5
L10 6ND,L10,6ND,32,13,19,12
L10 6NE,L10,6NE,57,24,33,32
L10 6NF,L10,6NF,39,17,22,16
L10 6NG,L10,6NG,62,31,31,26
L10 6NH,L10,6NH,56,26,30,27
L10 6NQ,L10,6NQ,104,53,51,43
L10 7LA,L10,7LA,86,40,46,37
L10 7LB,L10,7LB,77,33,44,27
L10 7LD,L10,7LD,19,9,10,5
L10 7LE,L10,7LE,62,30,32,23
L10 7LF,L10,7LF,90,41,49,35
L10 7LG,L10,7LG,51,26,25,22
L10 7LH,L10,7LH,70,34,36,36
L10 7LJ,L10,7LJ,35,16,19,15
L10 7LL,L10,7LL,57,19,38,29
L10 7LN,L10,7LN,34,17,17,17
L10 7LP,L10,7LP,50,19,31,24
L10 7LQ,L10,7LQ,49,23,26,24
L10 7LR,L10,7LR,44,20,24,23
L10 7LS,L10,7LS,57,20,37,25
L10 7LT,L10,7LT,43,20,23,23
L10 7LU,L10,7LU,25,10,15,11
L10 7LW,L10,7LW,75,33,42,29
L10 7LX,L10,7LX,47,23,24,20
L10 7LY,L10,7LY,68,33,35,31
L10 7LZ,L10,7LZ,52,27,25,29
L10 7NA,L10,7NA,49,24,25,22
L10 7NB,L10,7NB,30,15,15,13
L10 7ND,L10,7ND,24,8,16,12
L10 7NE,L10,7NE,63,31,32,25
L10 7NF,L10,7NF,85,35,50,33
L10 7NG,L10,7NG,73,34,39,32
L10 7NH,L10,7NH,93,38,55,49
L10 7NJ,L10,7NJ,51,23,28,22
L10 7NL,L10,7NL,30,15,15,12
L10 7NN,L10,7NN,51,19,32,19
L10 7NP,L10,7NP,61,26,35,29
L10 7NQ,L10,7NQ,33,11,22,16
L10 7NR,L10,7NR,50,27,23,21
L10 7NS,L10,7NS,44,25,19,31
L10 7NT,L10,7NT,35,15,20,21
L10 7NU,L10,7NU,76,52,24,56
L10 7NW,L10,7NW,58,30,28,25
L10 8JA,L10,8JA,50,25,25,23
L10 8JB,L10,8JB,77,41,36,28
L10 8JD,L10,8JD,46,21,25,16
L10 8JE,L10,8JE,44,23,21,15
L10 8JF,L10,8JF,47,20,27,20
L10 8JG,L10,8JG,85,41,44,34
L10 8JH,L10,8JH,72,36,36,30
L10 8JJ,L10,8JJ,17,8,9,7
L10 8JL,L10,8JL,77,40,37,31
L10 8JN,L10,8JN,138,62,76,55
L10 8JP,L10,8JP,71,34,37,32
L10 8JQ,L10,8JQ,74,36,38,31
L10 8JR,L10,8JR,53,30,23,19
L10 8JS,L10,8JS,22,10,12,10
L10 8JT,L10,8JT,70,39,31,29
L10 8JU,L10,8JU,97,50,47,40
L10 8JW,L10,8JW,59,27,32,23
L10 8JX,L10,8JX,21,12,9,12
L10 8JY,L10,8JY,51,24,27,22
L10 8JZ,L10,8JZ,60,29,31,30
L10 8LA,L10,8LA,61,27,34,30
L10 8LB,L10,8LB,48,26,22,24
L10 8LD,L10,8LD,34,15,19,15
L10 8LE,L10,8LE,17,7,10,6
L10 8LF,L10,8LF,68,33,35,26
L10 8LG,L10,8LG,66,32,34,22
L10 8LH,L10,8LH,50,27,23,18
L10 8LJ,L10,8LJ,52,27,25,20
L10 8LL,L10,8LL,76,36,40,32
L10 8LN,L10,8LN,29,14,15,18
L10 8LQ,L10,8LQ,5,2,3,3
L10 8LR,L10,8LR,75,34,41,26
L10 8LS,L10,8LS,90,39,51,44
L10 8LT,L10,8LT,46,24,22,21
L10 8LU,L10,8LU,49,21,28,22
L10 8LW,L10,8LW,58,26,32,23
L10 8LX,L10,8LX,50,24,26,22
L10 8LY,L10,8LY,20,8,12,9
L10 8ND,L10,8ND,6,2,4,4
L10 9AP,L10,9AP,35,15,20,13
L10 9LA,L10,9LA,48,28,20,23
L10 9LB,L10,9LB,26,15,11,10
L10 9LD,L10,9LD,62,26,36,25
L10 9LE,L10,9LE,39,17,22,19
L10 9LG,L10,9LG,2,2,0,1
L10 9LH,L10,9LH,10,6,4,8
L10 9LJ,L10,9LJ,33,15,18,14
L10 9LL,L10,9LL,67,40,27,41
L10 9LN,L10,9LN,93,47,46,39
L10 9LP,L10,9LP,85,43,42,32
L10 9LQ,L10,9LQ,48,21,27,22
L10 9LR,L10,9LR,68,30,38,30
L10 9LS,L10,9LS,46,22,24,19
L10 9LT,L10,9LT,83,38,45,35
L10 9LU,L10,9LU,77,37,40,27
L10 9LW,L10,9LW,52,24,28,17
L10 9LX,L10,9LX,56,23,33,24
L10 9LY,L10,9LY,83,42,41,38
L10 9LZ,L10,9LZ,73,32,41,28
L10 9NA,L10,9NA,99,40,59,35
L10 9NB,L10,9NB,57,28,29,27
L10 9ND,L10,9ND,97,44,53,34
L10 9NE,L10,9NE,82,35,47,39
L10 9NF,L10,9NF,54,21,33,25
L10 9NG,L10,9NG,231,120,111,70
L10 9NP,L10,9NP,12,4,8,4
L11 0AA,L11,0AA,14,7,7,8
L11 0AB,L11,0AB,14,4,10,6
L11 0AD,L11,0AD,57,23,34,30
L11 0AE,L11,0AE,74,35,39,34
L11 0AF,L11,0AF,34,16,18,23
L11 0AG,L11,0AG,81,35,46,34
L11 0AH,L11,0AH,13,6,7,5
L11 0AJ,L11,0AJ,75,28,47,37
L11 0AL,L11,0AL,36,16,20,13
L11 0AN,L11,0AN,52,20,32,25
L11 0AP,L11,0AP,24,13,11,11
L11 0AQ,L11,0AQ,36,19,17,17
L11 0AR,L11,0AR,26,14,12,8
L11 0AS,L11,0AS,35,18,17,17
L11 0AT,L11,0AT,48,20,28,21
L11 0AU,L11,0AU,42,17,25,14
L11 0AX,L11,0AX,57,32,25,27
L11 0AY,L11,0AY,41,23,18,13
L11 0BG,L11,0BG,18,7,11,9
L11 0BH,L11,0BH,43,21,22,19
L11 0BJ,L11,0BJ,28,11,17,11
L11 0BL,L11,0BL,5,3,2,2
L11 0BN,L11,0BN,42,18,24,16
L11 0BP,L11,0BP,60,17,43,8
L11 0BR,L11,0BR,73,31,42,34
L11 0BT,L11,0BT,43,18,25,23
L11 0BU,L11,0BU,103,53,50,40
L11 0BW,L11,0BW,38,17,21,21
L11 0BX,L11,0BX,14,7,7,4
L11 0BY,L11,0BY,38,15,23,15
L11 0BZ,L11,0BZ,39,18,21,19
L11 0DA,L11,0DA,48,21,27,20
L11 0DB,L11,0DB,16,7,9,10
L11 0DD,L11,0DD,42,20,22,16
L11 0DE,L11,0DE,45,19,26,20
L11 0DF,L11,0DF,45,21,24,18
L11 0DG,L11,0DG,60,25,35,25
L11 0DN,L11,0DN,35,18,17,12
L11 0ED,L11,0ED,2,1,1,1
L11 0EE,L11,0EE,4,3,1,2
L11 1AH,L11,1AH,24,13,11,11
L11 1AJ,L11,1AJ,3,1,2,2
L11 1AN,L11,1AN,54,26,28,28
L11 1AP,L11,1AP,16,6,10,6
L11 1AS,L11,1AS,83,36,47,37
L11 1AT,L11,1AT,52,26,26,23
L11 1AU,L11,1AU,134,62,72,49
L11 1AX,L11,1AX,127,54,73,50
L11 1AY,L11,1AY,83,36,47,31
L11 1AZ,L11,1AZ,39,14,25,16
L11 1BA,L11,1BA,53,24,29,22
L11 1BB,L11,1BB,31,9,22,16
L11 1BD,L11,1BD,32,14,18,12
L11 1BE,L11,1BE,115,56,59,43
L11 1BG,L11,1BG,8,2,6,4
L11 1BL,L11,1BL,37,14,23,16
L11 1BN,L11,1BN,50,28,22,20
L11 1BP,L11,1BP,36,17,19,16
L11 1BQ,L11,1BQ,31,14,17,13
L11 1BR,L11,1BR,71,32,39,33
L11 1BS,L11,1BS,93,43,50,39
L11 1BT,L11,1BT,39,16,23,19
L11 1BU,L11,1BU,77,41,36,31
L11 1BW,L11,1BW,47,25,22,23
L11 1BX,L11,1BX,7,3,4,4
L11 1BY,L11,1BY,1,1,0,1
L11 1DB,L11,1DB,25,13,12,9
L11 1DE,L11,1DE,67,28,39,25
L11 1DF,L11,1DF,55,24,31,25
L11 1DG,L11,1DG,10,3,7,2
L11 1DH,L11,1DH,119,60,59,45
L11 1DJ,L11,1DJ,34,14,20,12
L11 1DN,L11,1DN,27,15,12,11
L11 1DP,L11,1DP,62,33,29,24
L11 1DQ,L11,1DQ,43,18,25,19
L11 1DR,L11,1DR,107,52,55,43
L11 1DS,L11,1DS,38,14,24,21
L11 1DU,L11,1DU,156,72,84,61
L11 1DW,L11,1DW,51,33,18,25
L11 1EB,L11,1EB,4,2,2,2
L11 1EE,L11,1EE,63,21,42,24
L11 1EF,L11,1EF,47,19,28,18
L11 1EG,L11,1EG,87,44,43,39
L11 1EH,L11,1EH,75,39,36,29
L11 1EJ,L11,1EJ,35,15,20,16
L11 1EL,L11,1EL,20,14,6,11
L11 1EP,L11,1EP,32,16,16,12
L11 1EQ,L11,1EQ,56,27,29,30
L11 1ET,L11,1ET,2,0,2,1
L11 1EW,L11,1EW,36,19,17,16
L11 1EZ,L11,1EZ,73,32,41,31
L11 1HA,L11,1HA,72,38,34,32
L11 1HB,L11,1HB,79,30,49,32
L11 1HH,L11,1HH,2,1,1,1
L11 1JG,L11,1JG,23,9,14,21
L11 2RZ,L11,2RZ,75,39,36,29
L11 2SA,L11,2SA,62,26,36,24
L11 2SB,L11,2SB,60,32,28,25
L11 2SD,L11,2SD,53,24,29,24
L11 2SE,L11,2SE,13,6,7,7
L11 2SF,L11,2SF,49,18,31,17
L11 2SH,L11,2SH,101,48,53,46
L11 2SJ,L11,2SJ,76,35,41,36
L11 2SN,L11,2SN,108,57,51,44
L11 2SP,L11,2SP,41,17,24,17
L11 2SQ,L11,2SQ,79,40,39,31
L11 2SR,L11,2SR,88,38,50,35
L11 2SS,L11,2SS,115,48,67,46
L11 2SW,L11,2SW,67,28,39,28
L11 2TA,L11,2TA,30,17,13,13
L11 2TB,L11,2TB,67,26,41,26
L11 2TD,L11,2TD,55,24,31,24
L11 2TE,L11,2TE,77,32,45,35
L11 2TF,L11,2TF,87,48,39,30
L11 2TG,L11,2TG,50,18,32,24
L11 2TH,L11,2TH,28,10,18,14
L11 2TJ,L11,2TJ,105,42,63,44
L11 2TL,L11,2TL,77,38,39,35
L11 2TN,L11,2TN,79,33,46,31
L11 2TP,L11,2TP,73,38,35,36
L11 2TQ,L11,2TQ,54,26,28,23
L11 2TR,L11,2TR,118,47,71,47
L11 2TS,L11,2TS,110,59,51,37
L11 2TT,L11,2TT,69,25,44,29
L11 2TU,L11,2TU,35,18,17,23
L11 2TW,L11,2TW,68,31,37,29
L11 2TX,L11,2TX,62,27,35,30
L11 2TY,L11,2TY,52,26,26,22
L11 2TZ,L11,2TZ,66,23,43,32
L11 2UA,L11,2UA,35,13,22,13
L11 2UB,L11,2UB,27,12,15,11
L11 2UD,L11,2UD,59,24,35,25
L11 2UE,L11,2UE,48,19,29,19
L11 2UF,L11,2UF,52,29,23,18
L11 2UG,L11,2UG,52,22,30,21
L11 2UH,L11,2UH,120,52,68,46
L11 2UJ,L11,2UJ,80,39,41,34
L11 2UL,L11,2UL,102,47,55,46
L11 2UN,L11,2UN,29,19,10,18
L11 2UP,L11,2UP,38,16,22,18
L11 2UQ,L11,2UQ,75,37,38,34
L11 2UR,L11,2UR,53,28,25,20
L11 2US,L11,2US,4,2,2,2
L11 2UT,L11,2UT,44,15,29,41
L11 2UU,L11,2UU,81,31,50,36
L11 2UW,L11,2UW,20,9,11,6
L11 2UX,L11,2UX,116,49,67,45
L11 2UY,L11,2UY,67,24,43,30
L11 2UZ,L11,2UZ,63,28,35,26
L11 2WX,L11,2WX,66,29,37,25
L11 2XE,L11,2XE,5,1,4,2
L11 2XF,L11,2XF,4,2,2,2
L11 2XG,L11,2XG,8,4,4,2
L11 2XP,L11,2XP,12,4,8,7
L11 2XU,L11,2XU,13,8,5,8
L11 2XY,L11,2XY,22,13,9,8
L11 2YA,L11,2YA,77,34,43,37
L11 2YB,L11,2YB,24,12,12,12
L11 2YE,L11,2YE,22,8,14,9
L11 2YF,L11,2YF,36,14,22,33
L11 2YG,L11,2YG,56,25,31,25
L11 2YH,L11,2YH,36,19,17,14
L11 2YJ,L11,2YJ,75,31,44,29
L11 2YQ,L11,2YQ,29,13,16,26
L11 2YX,L11,2YX,32,11,21,18
L11 3AA,L11,3AA,22,13,9,9
